#format 2dsweep MONTE_CARLO
#[Custom WaveView] saved 12:24:30 Sat Jun 29 2019
TIME ,n1 
 1.0000E-08 , 1.4594E-05 
 1.7500E-08 , 2.2257E-03 
#sweep 48
 2.5000E-09 , 7.5873E-01 
 1.0000E-08 ,-1.9959E-05 
 1.7500E-08 , 2.6882E-03 
#sweep 49
 2.5000E-09 , 7.9374E-01 
 1.0000E-08 ,-3.3995E-06 
 1.7500E-08 , 7.1292E-04 
#sweep 50
 2.5000E-09 , 7.2407E-01 
 1.0000E-08 ,-1.3218E-06 
 1.7500E-08 , 6.9871E-03 
#sweep 51
 2.5000E-09 , 7.7444E-01 
 1.0000E-08 , 1.6130E-05 
 1.7500E-08 , 2.5434E-03 
#sweep 52
 2.5000E-09 , 7.7875E-01 
 1.0000E-08 , 3.3647E-06 
 1.7500E-08 , 1.5594E-03 
#sweep 53
 2.5000E-09 , 6.9573E-01 
 1.0000E-08 , 1.2525E-05 
 1.7500E-08 , 1.0755E-02 
#sweep 54
 2.5000E-09 , 7.7476E-01 
 1.0000E-08 ,-4.4718E-06 
 1.7500E-08 , 3.0773E-03 
#sweep 55
 2.5000E-09 , 7.3914E-01 
 1.0000E-08 , 2.5727E-06 
 1.7500E-08 , 6.4939E-03 
#sweep 56
 2.5000E-09 , 7.6237E-01 
 1.0000E-08 , 1.4804E-05 
 1.7500E-08 , 3.0246E-03 
#sweep 57
 2.5000E-09 , 7.8818E-01 
 1.0000E-08 ,-2.5181E-06 
 1.7500E-08 , 1.8852E-03 
#sweep 58
 2.5000E-09 , 7.7673E-01 
 1.0000E-08 ,-2.2844E-05 
 1.7500E-08 , 2.1423E-03 
#sweep 59
 2.5000E-09 , 7.7242E-01 
 1.0000E-08 , 1.5349E-06 
 1.7500E-08 , 2.9979E-03 
#sweep 60
 2.5000E-09 , 7.1430E-01 
 1.0000E-08 ,-9.5186E-06 
 1.7500E-08 , 5.7165E-03 
#sweep 61
 2.5000E-09 , 7.6340E-01 
 1.0000E-08 , 8.9687E-06 
 1.7500E-08 , 2.0549E-03 
#sweep 62
 2.5000E-09 , 7.4466E-01 
 1.0000E-08 , 2.7115E-05 
 1.7500E-08 , 4.3807E-03 
#sweep 63
 2.5000E-09 , 7.8736E-01 
 1.0000E-08 , 1.6575E-05 
 1.7500E-08 , 1.6782E-03 
#sweep 64
 2.5000E-09 , 7.8221E-01 
 1.0000E-08 , 1.4929E-05 
 1.7500E-08 , 1.9724E-03 
#sweep 65
 2.5000E-09 , 6.9950E-01 
 1.0000E-08 , 1.2841E-05 
 1.7500E-08 , 8.6197E-03 
#sweep 66
 2.5000E-09 , 7.9250E-01 
 1.0000E-08 , 8.0617E-06 
 1.7500E-08 , 7.6451E-04 
#sweep 67
 2.5000E-09 , 7.8326E-01 
 1.0000E-08 , 2.1569E-05 
 1.7500E-08 , 2.4555E-03 
#sweep 68
 2.5000E-09 , 7.3233E-01 
 1.0000E-08 , 1.8493E-05 
 1.7500E-08 , 7.8393E-03 
#sweep 69
 2.5000E-09 , 7.8339E-01 
 1.0000E-08 , 2.3485E-05 
 1.7500E-08 , 2.1028E-03 
#sweep 70
 2.5000E-09 , 5.5964E-01 
 1.0000E-08 ,-5.9252E-06 
 1.7500E-08 , 1.0552E-02 
#sweep 71
 2.5000E-09 , 7.3080E-01 
 1.0000E-08 ,-8.7156E-07 
 1.7500E-08 , 6.2136E-03 
#sweep 72
 2.5000E-09 , 7.8079E-01 
 1.0000E-08 , 1.8511E-05 
 1.7500E-08 , 1.9450E-03 
#sweep 73
 2.5000E-09 , 7.8864E-01 
 1.0000E-08 ,-1.3766E-05 
 1.7500E-08 , 1.1034E-03 
#sweep 74
 2.5000E-09 , 7.8889E-01 
 1.0000E-08 , 4.0649E-05 
 1.7500E-08 , 1.6168E-03 
#sweep 75
 2.5000E-09 , 7.1972E-01 
 1.0000E-08 ,-2.6632E-05 
 1.7500E-08 , 6.5910E-03 
#sweep 76
 2.5000E-09 , 7.7460E-01 
 1.0000E-08 , 1.5602E-06 
 1.7500E-08 , 2.0201E-03 
#sweep 77
 2.5000E-09 , 7.9698E-01 
 1.0000E-08 ,-4.9026E-06 
 1.7500E-08 , 3.6937E-04 
#sweep 78
 2.5000E-09 , 7.8504E-01 
 1.0000E-08 , 5.6653E-06 
 1.7500E-08 , 1.4989E-03 
#sweep 79
 2.5000E-09 , 7.8665E-01 
 1.0000E-08 , 1.7253E-05 
 1.7500E-08 , 1.4223E-03 
#sweep 80
 2.5000E-09 , 7.6136E-01 
 1.0000E-08 , 2.2508E-07 
 1.7500E-08 , 3.7115E-03 
#sweep 81
 2.5000E-09 , 7.2511E-01 
 1.0000E-08 ,-2.4233E-05 
 1.7500E-08 , 5.6766E-03 
#sweep 82
 2.5000E-09 , 7.8860E-01 
 1.0000E-08 , 4.0745E-06 
 1.7500E-08 , 1.4322E-03 
#sweep 83
 2.5000E-09 , 7.5903E-01 
 1.0000E-08 , 2.0118E-06 
 1.7500E-08 , 4.1514E-03 
#sweep 84
 2.5000E-09 , 7.7332E-01 
 1.0000E-08 ,-3.4631E-06 
 1.7500E-08 , 3.1629E-03 
#sweep 85
 2.5000E-09 , 6.9506E-01 
 1.0000E-08 ,-1.3376E-06 
 1.7500E-08 , 7.7607E-03 
#sweep 86
 2.5000E-09 , 7.7793E-01 
 1.0000E-08 ,-2.1388E-05 
 1.7500E-08 , 1.9942E-03 
#sweep 87
 2.5000E-09 , 7.7575E-01 
 1.0000E-08 , 1.3616E-05 
 1.7500E-08 , 2.3824E-03 
#sweep 88
 2.5000E-09 , 7.7408E-01 
 1.0000E-08 ,-2.1674E-05 
 1.7500E-08 , 3.5190E-03 
#sweep 89
 2.5000E-09 , 7.6640E-01 
 1.0000E-08 ,-1.5044E-06 
 1.7500E-08 , 3.4783E-03 
#sweep 90
 2.5000E-09 , 7.6062E-01 
 1.0000E-08 , 1.3081E-05 
 1.7500E-08 , 5.8933E-03 
#sweep 91
 2.5000E-09 , 7.9193E-01 
 1.0000E-08 ,-7.8124E-07 
 1.7500E-08 , 1.0507E-03 
#sweep 92
 2.5000E-09 , 7.5940E-01 
 1.0000E-08 , 1.7753E-05 
 1.7500E-08 , 5.4007E-03 
#sweep 93
 2.5000E-09 , 7.3385E-01 
 1.0000E-08 , 2.8841E-05 
 1.7500E-08 , 5.4177E-03 
#sweep 94
 2.5000E-09 , 7.7353E-01 
 1.0000E-08 ,-1.0956E-06 
 1.7500E-08 , 2.9040E-03 
#sweep 95
 2.5000E-09 , 7.7836E-01 
 1.0000E-08 , 1.6036E-05 
 1.7500E-08 , 2.2684E-03 
#sweep 96
 2.5000E-09 , 7.7597E-01 
 1.0000E-08 , 1.6025E-06 
 1.7500E-08 , 2.8142E-03 
#sweep 97
 2.5000E-09 , 7.9111E-01 
 1.0000E-08 , 2.3649E-06 
 1.7500E-08 , 1.3819E-03 
#sweep 98
 2.5000E-09 , 7.5964E-01 
 1.0000E-08 ,-5.3685E-06 
 1.7500E-08 , 2.5198E-03 
#sweep 99
 2.5000E-09 , 7.9501E-01 
 1.0000E-08 , 2.7424E-07 
 1.7500E-08 , 7.2524E-04 
#sweep 100
 2.5000E-09 , 7.5452E-01 
 1.0000E-08 ,-9.8427E-06 
 1.7500E-08 , 2.9423E-03 
